,Date,Year,Country_1,Country_2,Score_1,Score_2,Competition,Location,Elo_Score_Change_1,Elo_Score_Change_2,Elo_Score_New_1,Elo_Score_New_2,Rank_Change_1,Rank_Change_2,Rank_New_1,Rank_New_2
141,March 27,2018,Taiwan,Singapore,1,0,"<a href=""2019_Asian_Cup_qualifying"" onclick=""handleLink('2019_Asian_Cup_qualifying'); return false;"">Asian Cup qualifier</a>",in Taiwan,19,-19,994,1042,0,-3,192,186
142,March 27,2018,Philippines,Tajikistan,2,1,"<a href=""2019_Asian_Cup_qualifying"" onclick=""handleLink('2019_Asian_Cup_qualifying'); return false;"">Asian Cup qualifier</a>",in the Philippines,17,-17,1186,1197,1,-3,167,163
143,March 27,2018,Oman,Palestine,1,0,"<a href=""2019_Asian_Cup_qualifying"" onclick=""handleLink('2019_Asian_Cup_qualifying'); return false;"">Asian Cup qualifier</a>",in Oman,9,-9,1539,1394,3,-4,71,109
144,March 27,2018,North Korea,Hong Kong,2,0,"<a href=""2019_Asian_Cup_qualifying"" onclick=""handleLink('2019_Asian_Cup_qualifying'); return false;"">Asian Cup qualifier</a>",in North Korea,7,-7,1457,1183,4,-4,92,168
145,March 27,2018,Myanmar,Macao,1,0,"<a href=""2019_Asian_Cup_qualifying"" onclick=""handleLink('2019_Asian_Cup_qualifying'); return false;"">Asian Cup qualifier</a>",in Myanmar,2,-2,1069,673,0,0,182,223
146,March 27,2018,Maldives,Bhutan,7,0,"<a href=""2019_Asian_Cup_qualifying"" onclick=""handleLink('2019_Asian_Cup_qualifying'); return false;"">Asian Cup qualifier</a>",in the Maldives,7,-7,942,585,0,0,198,231
147,March 27,2018,Lebanon,Malaysia,2,1,"<a href=""2019_Asian_Cup_qualifying"" onclick=""handleLink('2019_Asian_Cup_qualifying'); return false;"">Asian Cup qualifier</a>",in Lebanon,2,-2,1459,1051,1,1,91,184
148,March 27,2018,Kyrgyzstan,India,2,1,"<a href=""2019_Asian_Cup_qualifying"" onclick=""handleLink('2019_Asian_Cup_qualifying'); return false;"">Asian Cup qualifier</a>",in Kyrgyzstan,11,-11,1244,1149,2,-1,152,171
149,March 27,2018,Jordan,Vietnam,1,1,"<a href=""2019_Asian_Cup_qualifying"" onclick=""handleLink('2019_Asian_Cup_qualifying'); return false;"">Asian Cup qualifier</a>",in Jordan,-14,14,1461,1285,-2,5,90,137
150,March 27,2018,Bahrain,Turkmenistan,4,0,"<a href=""2019_Asian_Cup_qualifying"" onclick=""handleLink('2019_Asian_Cup_qualifying'); return false;"">Asian Cup qualifier</a>",in Bahrain,15,-15,1414,1239,2,-4,104,153
151,March 27,2018,Afghanistan,Cambodia,2,1,"<a href=""2019_Asian_Cup_qualifying"" onclick=""handleLink('2019_Asian_Cup_qualifying'); return false;"">Asian Cup qualifier</a>",in Tajikistan,5,-5,1154,817,1,0,170,208
152,April 1,2018,Malaysia,Bhutan,7,0,Friendly,in Malaysia,2,-2,1053,583,0,0,184,231
153,April 1,2018,Antigua and Barbuda,Dominica,0,0,Friendly,in Antigua and Barbuda,-7,7,1214,1012,-1,0,159,189
154,April 17,2018,Trinidad and Tobago,Panama,0,1,Friendly,in Trinidad and Tobago,-6,6,1425,1669,-1,1,99,48
155,April 18,2018,Zimbabwe,Botswana,0,1,Friendly,in Zimbabwe,-17,17,1451,1278,-8,4,96,139
156,April 19,2018,Swatini,Namibia,1,0,Friendly,in Swatini,10,-10,1300,1371,4,-4,132,117
157,April 26,2018,Saint Kitts and Nevis,Jamaica,1,3,Friendly,in Saint Kitts and Nevis,-7,7,1242,1568,-3,1,152,67
158,April 29,2018,Antigua and Barbuda,Jamaica,0,2,Friendly,in Antigua and Barbuda,-6,6,1208,1574,0,0,159,67
159,April 29,2018,Saint Barthélemy,Saint Martin,3,1,Friendly,in Saint Barthélemy,18,-18,712,842,1,-2,216,206
160,May 8,2018,Iraq,Palestine,0,0,Friendly,in Iraq,-6,6,1550,1400,0,1,70,108
161,May 9,2018,Saudi Arabia,Algeria,2,0,Friendly,in Spain,14,-14,1581,1524,1,-4,67,76
162,May 11,2018,Kuwait,Palestine,2,0,Friendly,in Kuwait,10,-10,1427,1390,3,-3,99,111
163,May 15,2018,Saudi Arabia,Greece,2,0,Friendly,in Spain,19,-19,1600,1646,4,-2,63,51
164,May 19,2018,Iran,Uzbekistan,1,0,Friendly,in Iran,3,-3,1796,1602,1,-1,20,61
165,May 20,2018,Jordan,Cyprus,3,0,Friendly,in Jordan,10,-10,1471,1403,2,-2,87,107
166,May 25,2018,Kuwait,Egypt,1,1,Friendly,in Kuwait,3,-3,1430,1643,1,-1,98,52
167,May 25,2018,Kenya,Swatini,0,1,Friendly,in Kenya,-15,15,1361,1315,-2,4,118,128
